                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.0829,                 0.7743,                 1.2941,                0.90684,                 0.7835,                0.83009,                0.62729,                    nan,                    nan,                    nan,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0843,                0.77406,                 1.2916,                0.90567,                0.78562,                0.83121,                0.62823,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                    132,                 1.0743,                0.76533,                 1.2895,                0.90709,                 0.7848,                0.83089,                 0.6288,                    nan,                    nan,                    nan,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0736,                0.76064,                 1.2893,                0.90894,                0.78332,                0.83111,                0.62851,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                    134,                  1.069,                0.76074,                  1.284,                0.90931,                0.78331,                0.83134,                0.62942,                    nan,                    nan,                    nan,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0621,                0.76372,                 1.2832,                0.90905,                0.78341,                0.83133,                0.62939,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                    136,                 1.0741,                0.76225,                  1.285,                0.90729,                0.78442,                0.83196,                0.62994,                    nan,                    nan,                    nan,              0.0033175,              0.0033175,              0.0033175
                    137,                  1.069,                0.76208,                 1.2846,                0.91168,                0.78235,                0.83188,                0.63035,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                    138,                 1.0661,                0.75555,                 1.2804,                0.90968,                0.78347,                0.83216,                0.63042,                    nan,                    nan,                    nan,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0595,                0.75708,                 1.2787,                0.91072,                0.78241,                0.83173,                0.63067,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                    140,                  1.068,                0.75803,                 1.2797,                0.91047,                 0.7828,                0.83156,                0.63083,                    nan,                    nan,                    nan,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0683,                0.76143,                  1.283,                0.90896,                0.78367,                0.83132,                 0.6313,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                    142,                 1.0549,                0.74872,                 1.2691,                0.91224,                0.78232,                0.83119,                0.63191,                    nan,                    nan,                    nan,              0.0030205,              0.0030205,              0.0030205
